entry_id,field,old_text,new_text,reason,source,context
Lahu.151.1,gl,vil lage,village,"looks like a word-wrap split (""vil lage"" -> ""village"")",detect_english_candidates.py:split-word,epared by all households of a vil lage and presented to the househol
Lahu.543.5,gl,regula tions,regulations,"looks like a word-wrap split (""regula tions"" -> ""regulations"")",detect_english_candidates.py:split-word,toms and practices; rules and regula tions
Lahu.543.6,gl,regula tions,regulations,"looks like a word-wrap split (""regula tions"" -> ""regulations"")",detect_english_candidates.py:split-word,toms and practices; rules and regula tions
Lahu.543.7,gl,regula tions,regulations,"looks like a word-wrap split (""regula tions"" -> ""regulations"")",detect_english_candidates.py:split-word,toms and practices; rules and regula tions
Lahu.602.22,gl,physi cally,physically,"looks like a word-wrap split (""physi cally"" -> ""physically"")",detect_english_candidates.py:split-word,"ve different kinds of blood"" [physi cally]"
Lahu.702.3,gl,descen dants,descendants,"looks like a word-wrap split (""descen dants"" -> ""descendants"")",detect_english_candidates.py:split-word,posterity; one's descen dants for many generations
Lahu.988.10,gl,hyperbol ically,hyperbolically,"looks like a word-wrap split (""hyperbol ically"" -> ""hyperbolically"")",detect_english_candidates.py:split-word,"e nine sections and circles"" (hyperbol ically refers to the three circles a"
Lahu.992.45,gl,cir cle,circle,"looks like a word-wrap split (""cir cle"" -> ""circle"")",detect_english_candidates.py:split-word,rotate one's head in a cir cle (as in a yoga exercise)
Lahu.1105.77,gl,moun tainside,mountainside,"looks like a word-wrap split (""moun tainside"" -> ""mountainside"")",detect_english_candidates.py:split-word,"to ridge-walk (go around a moun tainside in a circular arc, without ei"
Lahu.1374.4,gl,med dle,meddle,"looks like a word-wrap split (""med dle"" -> ""meddle"")",detect_english_candidates.py:split-word,mn by hanging/fooling around; med dle in other people's business; i
Lahu.1624.62,gl,decora tive,decorative,"looks like a word-wrap split (""decora tive"" -> ""decorative"")",detect_english_candidates.py:split-word,"fish-scale flower"": name of a decora tive pattern on mí-chɔ [q.v.]"
Lahu.1665.6,gl,pos sess,possess,"looks like a word-wrap split (""pos sess"" -> ""possess"")",detect_english_candidates.py:split-word,"seek and obtain; come to pos sess through one's efforts (""seek "
Lahu.1940,gl,indi cates,indicates,"looks like a word-wrap split (""indi cates"" -> ""indicates"")",detect_english_candidates.py:split-word,"olygonum chinense: plant that indi cates good opium land [AW 1970b, p."
Lahu.2149.7,gl,immu nize,immunize,"looks like a word-wrap split (""immu nize"" -> ""immunize"")",detect_english_candidates.py:split-word,"inoculate; vaccinate; immu nize by injection (""protect by pri"
Lahu.2198.1,gl,surrepti tiously,surreptitiously,"looks like a word-wrap split (""surrepti tiously"" -> ""surreptitiously"")",detect_english_candidates.py:split-word,art one's eyes back and forth surrepti tiously; keep looking at sidelong (as
Lahu.2430.22,gl,oppo sition,opposition,"looks like a word-wrap split (""oppo sition"" -> ""opposition"")",detect_english_candidates.py:split-word,cause to be facing; put into oppo sition with; pit against each other
Lahu.2720.31,gl,previ ous,previous,"looks like a word-wrap split (""previ ous"" -> ""previous"")",detect_english_candidates.py:split-word,t another illness on top of a previ ous one; have a complication of a
Lahu.3015,gl,frac tion,fraction,"looks like a word-wrap split (""frac tion"" -> ""fraction"")",detect_english_candidates.py:split-word,(Clf) share; portion; frac tion; division of the whole
Lahu.3170.6,gl,comprehens ible,comprehensible,"looks like a word-wrap split (""comprehens ible"" -> ""comprehensible"")",detect_english_candidates.py:split-word,"almost completely comprehens ible (""penetrated for the most par"
Lahu.3464.1,gl,pre cious,precious,"looks like a word-wrap split (""pre cious"" -> ""precious"")",detect_english_candidates.py:split-word,"piling up sacred and pre cious objects (JHT: AKS, pp. 185-6)"
Lahu.3688.1,gl,ele phant,elephant,"looks like a word-wrap split (""ele phant"" -> ""elephant"")",detect_english_candidates.py:split-word,evil (bug with a nose like an ele phant that eats young bamboo plants
Lahu.3714.9,gl,circumfer ence,circumference,"looks like a word-wrap split (""circumfer ence"" -> ""circumference"")",detect_english_candidates.py:split-word,"uge species of bamboo, with a circumfer ence like a banana tree; edible wh"
Lahu.3726.75,gl,compen sation,compensation,"looks like a word-wrap split (""compen sation"" -> ""compensation"")",detect_english_candidates.py:split-word,"""face-washing money"": compen sation paid e.g. to the innocent spo"
Lahu.3753.9,gl,contempo rary,contemporary,"looks like a word-wrap split (""contempo rary"" -> ""contemporary"")",detect_english_candidates.py:split-word,"ibbon priest"": sobriquet of a contempo rary Lahu prophet living in Shan S"
Lahu.3753.10,gl,contempo rary,contemporary,"looks like a word-wrap split (""contempo rary"" -> ""contemporary"")",detect_english_candidates.py:split-word,"ibbon priest"": sobriquet of a contempo rary Lahu prophet living in Shan S"
Lahu.3918,gl,concoc tion,concoction,"looks like a word-wrap split (""concoc tion"" -> ""concoction"")",detect_english_candidates.py:split-word,hose leaves are included in a concoc tion applied externally to mend br
Lahu.3973.5,gl,ele phants,elephants,"looks like a word-wrap split (""ele phants"" -> ""elephants"")",detect_english_candidates.py:split-word,lephant trail; tracks left by ele phants (often used by other animals 
Lahu.3991.9,gl,dedica tion,dedication,"looks like a word-wrap split (""dedica tion"" -> ""dedication"")",detect_english_candidates.py:split-word," temple awakens"": perform the dedica tion service for a newly built hɔ́"
Lahu.3991.10,gl,dedica tion,dedication,"looks like a word-wrap split (""dedica tion"" -> ""dedication"")",detect_english_candidates.py:split-word," temple awakens"": perform the dedica tion service for a newly built hɔ́"
Lahu.4081.3,gl,commer cially,commercially,"looks like a word-wrap split (""commer cially"" -> ""commercially"")",detect_english_candidates.py:split-word,t that bears fruits rich in a commer cially valuable oil; castor-oil plan
Lahu.4219.9,gl,invita tion,invitation,"looks like a word-wrap split (""invita tion"" -> ""invitation"")",detect_english_candidates.py:split-word, a written invitation; put an invita tion in writing
Lahu.4253.2,gl,inher itance,inheritance,"looks like a word-wrap split (""inher itance"" -> ""inheritance"")",detect_english_candidates.py:split-word,leave sthg behind as an inher itance; bequeath things to
Lahu.4488.4,gl,imper vious,impervious,"looks like a word-wrap split (""imper vious"" -> ""impervious"")",detect_english_candidates.py:split-word, Vh + Vv) not be ticklish; be imper vious to tickling
Lahu.4568.14,gl,atti tude,attitude,"looks like a word-wrap split (""atti tude"" -> ""attitude"")",detect_english_candidates.py:split-word," sthg intact; maintain (as an atti tude, value-system) in its integri"
Lahu.4599.4,gl,dysen tery,dysentery,"looks like a word-wrap split (""dysen tery"" -> ""dysentery"")",detect_english_candidates.py:split-word,ll (used e.g. as medicine for dysen tery)
Lahu.4648.47,gl,posi tion,position,"looks like a word-wrap split (""posi tion"" -> ""position"")",detect_english_candidates.py:split-word,r in one's sleep; shift one's posi tion while sleeping
Lahu.4711.81,gl,edi ble,edible,"looks like a word-wrap split (""edi ble"" -> ""edible"")",detect_english_candidates.py:split-word,"amboo"") small kind of bamboo, edi ble when young, used for making k"
Lahu.4743,gl,indis tinguishable,indistinguishable,"looks like a word-wrap split (""indis tinguishable"" -> ""indistinguishable"")",detect_english_candidates.py:split-word,d found in ricefields (almost indis tinguishable from young riceplants until t
Lahu.4861,gl,resem bling,resembling,"looks like a word-wrap split (""resem bling"" -> ""resembling"")",detect_english_candidates.py:split-word,with long spoon-shaped leaves resem bling young coconut fronds [Cucurli
Lahu.4938.2,gl,instru ment,instrument,"looks like a word-wrap split (""instru ment"" -> ""instrument"")",detect_english_candidates.py:split-word,"single-tubed wind instru ment, held sideways like a Western"
Lahu.1410.5,gl,spithet,epithet,looks like a typo (one edit from common word 'epithet'),detect_english_candidates.py:single-word,spithet for the male Hill Spirit
Lahu.2724.4,gl,morepheme,morpheme,looks like a typo (one edit from common word 'morpheme'),detect_english_candidates.py:single-word,. sthg holy; eternal; divine (morepheme in words referring to deities
Lahu.4137.1,gl,litle,little,looks like a typo (one edit from common word 'little'),detect_english_candidates.py:single-word,litle grebe [Podiceps ruficollis] (
Lahu.4977.6,gl,inter esting,interesting,looks like a typo (one edit from common word 'eating'),detect_english_candidates.py:single-word,ing to smn's liking; be inter esting for smn; suit smn well; pleas
